Latitude,Longitude,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
46.29488354901961,-63.70017103921569,26,"Potato",73,55,51,29,47,208,240,239,241,87,1,109,41
46.29515805882353,-63.699073000000006,19,"Barley",73,55,49,28,47,203,240,239,241,86,1,110,42
46.295432568627454,-63.69934750980392,33,"Barley",73,56,50,30,47,202,239,238,241,86,1,111,43
46.295432568627454,-63.699073000000006,11,"Barley",73,55,50,29,47,203,240,239,241,86,1,109,41
46.295432568627454,-63.69879849019608,32,"Barley",73,55,50,28,47,204,240,239,241,86,1,106,40
46.29845217647059,-63.699622019607844,28,"Potato",72,55,49,28,57,166,206,191,227,71,1,99,41
46.29845217647059,-63.697425941176476,22,"Potato",71,53,45,29,46,133,173,179,200,66,1,81,38
46.29845217647059,-63.69715143137255,19,"Potato",71,53,46,27,56,159,192,181,215,67,1,96,39
46.29872668627451,-63.699622019607844,7,"Potato",72,55,50,27,59,180,224,213,236,71,1,100,41
46.29872668627451,-63.69934750980392,25,"Potato",72,52,49,26,61,191,235,216,236,71,1,103,42
46.29872668627451,-63.697425941176476,24,"Potato",71,53,42,29,47,135,174,151,205,66,1,84,39
46.29872668627451,-63.69715143137255,21,"Potato",71,55,49,28,58,159,192,188,213,67,1,98,40
46.299001196078436,-63.699622019607844,34,"Potato",71,52,46,28,47,126,153,169,176,61,1,78,35
46.300648254901965,-63.697425941176476,22,"Potato",72,52,41,26,29,38,49,22,40,44,1,22,9
46.300648254901965,-63.69715143137255,26,"Potato",72,53,43,30,43,103,130,47,146,50,1,52,20
46.30092276470589,-63.697425941176476,17,"Potato",74,52,41,24,57,159,201,171,216,61,1,90,37
46.30092276470589,-63.69715143137255,23,"Potato",74,54,49,28,69,182,223,227,236,77,1,109,46
46.30504041176471,-63.69824947058824,35,"Potato",73,56,52,37,67,142,176,188,203,65,1,109,49
46.30504041176471,-63.697974960784315,30,"Potato",73,56,50,36,72,159,197,183,225,61,1,114,52
46.30531492156863,-63.69824947058824,20,"Potato",73,56,52,37,67,150,186,191,214,65,1,108,49
46.30531492156863,-63.697974960784315,11,"Potato",73,55,50,37,67,151,187,181,214,67,1,111,50
46.30558943137255,-63.697974960784315,34,"Potato",73,56,52,36,68,157,192,195,219,67,1,108,48
46.30860903921569,-63.69852398039216,32,"Barley",76,60,63,34,80,239,245,244,247,100,1,119,44
46.30888354901961,-63.69852398039216,7,"Barley",76,60,65,34,81,239,245,243,246,100,1,120,46
46.30888354901961,-63.69824947058824,23,"Barley",76,60,65,35,81,239,244,243,246,100,1,120,46
46.309158058823535,-63.69852398039216,30,"Barley",75,60,65,34,82,238,243,243,245,97,1,125,50
46.310805117647064,-63.70181809803922,34,"Barley",76,64,68,55,94,227,238,239,239,91,1,150,80
46.310805117647064,-63.701543588235296,27,"Barley",76,62,66,44,81,237,241,239,243,91,1,141,64
46.31107962745098,-63.70181809803922,23,"Barley",76,63,66,49,86,237,241,239,242,91,1,144,70
46.31107962745098,-63.701543588235296,9,"Barley",76,60,64,35,82,238,243,242,243,91,1,135,59
46.311628647058825,-63.69852398039216,22,"Barley",75,60,62,46,91,157,184,187,213,63,1,94,49
