Latitude,Longitude,Distance,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
43.00687376470589,-81.57294639215687,30,"Wheat - Winter",82,61,53,32,64,193,235,235,236,55,1,123,51
43.14357964705883,-81.52051501960786,26,"Corn",84,63,58,35,54,201,239,238,241,67,1,110,42
43.14357964705883,-81.52024050980393,13,"Corn",84,64,57,34,53,202,239,238,241,67,1,110,42
43.14385415686275,-81.52051501960786,30,"Corn",84,64,57,34,54,201,239,238,240,62,1,110,42
43.14385415686275,-81.52024050980393,21,"Corn",84,64,58,35,55,204,239,238,240,62,1,111,42
43.14440317647059,-81.52408364705883,33,"Corn",84,64,57,36,56,197,238,237,240,60,1,110,43
43.14440317647059,-81.52380913725491,10,"Corn",84,62,55,33,53,195,238,237,240,60,1,107,42
43.14440317647059,-81.52353462745099,31,"Corn",84,63,56,34,51,194,238,237,240,60,1,105,39
43.14467768627451,-81.52380913725491,20,"Corn",84,64,59,37,58,196,238,237,240,60,1,111,43
43.14879533333334,-81.55071109803923,22,"Wheat - Winter",88,66,60,41,72,212,237,236,238,58,1,144,71
43.14879533333334,-81.5504365882353,20,"Wheat - Winter",88,68,63,44,85,205,236,235,237,58,1,151,85
43.14906984313726,-81.55071109803923,24,"Wheat - Winter",88,87,88,83,77,192,236,212,238,58,1,139,76
43.14906984313726,-81.5504365882353,21,"Wheat - Winter",88,64,60,37,62,197,238,236,239,58,1,117,52
43.15236396078432,-81.55976992156863,29,"Corn",94,86,85,103,110,135,155,155,176,36,1,234,154
43.152638470588236,-81.5822797254902,27,"Wheat - Winter",96,81,77,88,104,133,154,145,171,39,1,235,159
43.152638470588236,-81.58200521568628,25,"Wheat - Winter",96,86,82,97,106,136,158,152,175,39,1,235,159
43.152638470588236,-81.56004443137256,27,"Corn",96,84,82,98,109,135,154,148,172,40,1,228,148
43.152638470588236,-81.55976992156863,4,"Corn",96,84,81,98,108,131,152,145,169,40,1,227,147
43.152638470588236,-81.55949541176471,34,"Corn",96,85,84,102,112,138,159,154,178,39,1,235,152
43.15291298039216,-81.5822797254902,20,"Wheat - Winter",96,83,80,92,104,132,154,146,171,39,1,235,162
43.15291298039216,-81.58200521568628,16,"Wheat - Winter",96,83,81,92,106,135,156,149,176,39,1,236,162
43.15291298039216,-81.55976992156863,33,"Corn",96,86,85,105,113,138,160,158,179,40,1,234,146
43.15373650980393,-81.5861228627451,28,"Wheat - Winter",85,64,58,37,58,236,242,240,244,73,2,141,58
43.15373650980393,-81.58584835294118,8,"Wheat - Winter",85,64,57,35,58,236,242,242,245,73,2,141,58
43.15373650980393,-81.58557384313725,34,"Wheat - Winter",85,64,58,35,57,236,243,242,245,73,2,143,59
43.15401101960785,-81.58584835294118,24,"Wheat - Winter",85,64,59,36,58,235,242,240,243,73,2,140,57
43.15483454901961,-81.58969149019609,19,"Wheat - Winter",85,64,58,36,60,236,243,242,245,75,2,151,64
